example_id                                       | status  | run_time        |
------------------------------------------------ | ------- | --------------- |
./spec/helpers/books_helper_spec.rb[1:1]         | pending | 0 seconds       |
./spec/helpers/rentals_helper_spec.rb[1:1]       | pending | 0 seconds       |
./spec/models/book_spec.rb[1:1]                  | pending | 0 seconds       |
./spec/models/rental_spec.rb[1:1]                | pending | 0 seconds       |
./spec/requests/books_spec.rb[1:1:1]             | pending | 0.00019 seconds |
./spec/requests/books_spec.rb[1:2:1]             | pending | 0.00022 seconds |
./spec/requests/books_spec.rb[1:3:1]             | passed  | 0.00302 seconds |
./spec/requests/books_spec.rb[1:4:1]             | pending | 0.00018 seconds |
./spec/requests/books_spec.rb[1:5:1:1]           | pending | 0.00041 seconds |
./spec/requests/books_spec.rb[1:5:1:2]           | pending | 0.00032 seconds |
./spec/requests/books_spec.rb[1:5:2:1]           | pending | 0.0003 seconds  |
./spec/requests/books_spec.rb[1:5:2:2]           | pending | 0.00019 seconds |
./spec/requests/books_spec.rb[1:6:1:1]           | pending | 0.01274 seconds |
./spec/requests/books_spec.rb[1:6:1:2]           | pending | 0.00019 seconds |
./spec/requests/books_spec.rb[1:6:2:1]           | pending | 0.00031 seconds |
./spec/requests/books_spec.rb[1:7:1]             | pending | 0.00019 seconds |
./spec/requests/books_spec.rb[1:7:2]             | pending | 0.00018 seconds |
./spec/requests/rentals_spec.rb[1:1:1]           | pending | 0.00021 seconds |
./spec/requests/rentals_spec.rb[1:2:1]           | pending | 0.00021 seconds |
./spec/requests/rentals_spec.rb[1:3:1]           | passed  | 0.02298 seconds |
./spec/requests/rentals_spec.rb[1:4:1]           | pending | 0.00019 seconds |
./spec/requests/rentals_spec.rb[1:5:1:1]         | pending | 0.00035 seconds |
./spec/requests/rentals_spec.rb[1:5:1:2]         | pending | 0.00023 seconds |
./spec/requests/rentals_spec.rb[1:5:2:1]         | pending | 0.00646 seconds |
./spec/requests/rentals_spec.rb[1:5:2:2]         | pending | 0.00036 seconds |
./spec/requests/rentals_spec.rb[1:6:1:1]         | pending | 0.00023 seconds |
./spec/requests/rentals_spec.rb[1:6:1:2]         | pending | 0.0002 seconds  |
./spec/requests/rentals_spec.rb[1:6:2:1]         | pending | 0.0003 seconds  |
./spec/requests/rentals_spec.rb[1:7:1]           | pending | 0.0002 seconds  |
./spec/requests/rentals_spec.rb[1:7:2]           | pending | 0.0003 seconds  |
./spec/routing/books_routing_spec.rb[1:1:1]      | passed  | 0.00022 seconds |
./spec/routing/books_routing_spec.rb[1:1:2]      | passed  | 0.00025 seconds |
./spec/routing/books_routing_spec.rb[1:1:3]      | passed  | 0.00023 seconds |
./spec/routing/books_routing_spec.rb[1:1:4]      | passed  | 0.00042 seconds |
./spec/routing/books_routing_spec.rb[1:1:5]      | passed  | 0.00021 seconds |
./spec/routing/books_routing_spec.rb[1:1:6]      | passed  | 0.00024 seconds |
./spec/routing/books_routing_spec.rb[1:1:7]      | passed  | 0.00022 seconds |
./spec/routing/books_routing_spec.rb[1:1:8]      | passed  | 0.00021 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:1]    | passed  | 0.00079 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:2]    | passed  | 0.0002 seconds  |
./spec/routing/rentals_routing_spec.rb[1:1:3]    | passed  | 0.00025 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:4]    | passed  | 0.00022 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:5]    | passed  | 0.00022 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:6]    | passed  | 0.00022 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:7]    | passed  | 0.00021 seconds |
./spec/routing/rentals_routing_spec.rb[1:1:8]    | passed  | 0.00026 seconds |
./spec/views/books/edit.html.erb_spec.rb[1:1]    | passed  | 0.00398 seconds |
./spec/views/books/index.html.erb_spec.rb[1:1]   | failed  | 0.0004 seconds  |
./spec/views/books/new.html.erb_spec.rb[1:1]     | passed  | 0.01117 seconds |
./spec/views/books/show.html.erb_spec.rb[1:1]    | failed  | 0.00093 seconds |
./spec/views/rentals/edit.html.erb_spec.rb[1:1]  | failed  | 0.00098 seconds |
./spec/views/rentals/index.html.erb_spec.rb[1:1] | failed  | 0.05545 seconds |
./spec/views/rentals/new.html.erb_spec.rb[1:1]   | passed  | 0.00169 seconds |
./spec/views/rentals/show.html.erb_spec.rb[1:1]  | failed  | 0.00086 seconds |
